NAME,NOM,STREET,PLAQUE LOCATION,TOWN,PROV,REASON FOR DESIGNATION,RAISION DE LA DESIGNATION,LATITUDE (WGS84),LONGITUDE (WGS84)
"Tupper, Sir Charles","Tupper, sir Charles",Victoria Street East,Dominion Public Building,Amherst,Nova Scotia,Prime Minister of Canada (1896); Father of Confederation,Premier ministre du Canada (1896); père de la Confédération,45.834277,-64.212534
"Tupper, Sir Charles","Tupper, sir Charles",Victoria Street,Warren Consolidated School,Warren,Nova Scotia,Prime Minister of Canada (1896); Father of Confederation,Premier ministre du Canada (1896); père de la Confédération,45.85,-64.133333
"Turgeon, William Ferdinand Alphonse","Turgeon, William Ferdinand Alphonse",2310 McIntyre Street,<Null>,Regina,Saskatchewan,"Saskatchewan Attorney General (1907-21), judge and diplomat","Procureur général de la Saskatchewan (1907-1921), juge et diplomate",50.441998,-104.616761
"Turnbull, Wallace Rupert","Turnbull, Wallace Rupert",<Null>,<Null>,Saint John,New Brunswick,"Aeronautical engineer, built first wind tunnel in Canada","Ingénieur en aéronautique, construisit le premier tunnel aérodynamique au Canada",45.27251,-66.072629
"Turnor, Philip","Turnor, Philip",<Null>,<Null>,Moose Factory,Ontario,"Hudson's Bay Company surveyor, explored the Athabasca (1790-92)","Arpenteur-géomètre de la Compagnie de la baie d'Hudson, explora l'Athabasca (1790-1792)",51.252234,-80.606371
"Tyrrell, Joseph Burr","Tyrrell, Joseph Burr",<Null>,On a rock on the site of the Commissioner's Residence,Dawson,Yukon Territory,"Explorer, historian with the Geological Survey of Canada (1882-99)","Explorateur, historien, travailla à la Commission géologique du Canada (1882-1899)",64.058506,-139.438766
"Uniacke, James Boyle","Uniacke, James Boyle",<Null>,1948-in Province House 1967-on house in Halifax,Halifax,Nova Scotia,First Premier of Nova Scotia under responsible government (1848-54),Premier premier ministre de la Nouvelle-Écosse après l'obtention de la responsabilité ministérielle (1848-1854),44.647212,-63.607802
"Van Horne, Sir William","Van Horne, sir William",1160 de la Gauchetière St. West,Windsor Station (Canadian Pacific) NHSC,Montréal,Quebec,"Chief engineer of the Canadian Pacific Railway, its president (1882-84, 1888-99)","Ingénieur en chef puis président du Canadien Pacifique (1882-1884, 1888-1899)",45.497487,-73.568585
"Vancouver, Captain George","Vancouver, capitaine George",Vanier Park off Chestnut Street,<Null>,Vancouver,British Columbia,"Explorer, 1792-94 voyage charted most of the British Columbia coast","Explorateur, fit le levé hydrographique de la côte de la Colombie-Britannique lors d'une expédition (1792-1794)",49.278067,-123.145
"Vanier, Georges-Philias","Vanier, Georges-Philias",<Null>,Governor General's residence - Québec Citadel NHSC,Québec,Quebec,"Governor General of Canada (1959-67), soldier, Ambassador to France (1944-53)","Gouverneur général du Canada (1959-1967), soldat, ambassadeur en France (1944-1953)",46.807858,-71.20727
"Varley, Frederick","Varley, Frederick",East Jericho Beach,"Brock House Seniors Recreation Centre, East Jericho Beach",*    Vancouver,British Columbia,"Painter, member of the Group of Seven, portraits and landscapes","Peintre, membre du Groupe des Sept, portraits et paysages",49.2717,-123.190052
"Verigin, Peter Vasilevich","Verigin, Peter Vasilevich",112 Heritage Way,Doukhobor Discovery Centre,*    Castlegar,British Columbia,Formed the Christian Community of Universal Brotherhood and orchestrated Doukhobor emigration to Canada,A créé la Christian Community of Universal Brotherhood et orchestré l’émigration des doukhobors au Canada,49.296565,-117.640583
"Verrier, Louis-Guillaume","Verrier, Louis-Guillaume",17 Sainte-Famille,"at the former Faculty of Law Building, Seminary of Québec",Québec,Quebec,Founded the first law school in Canada (1733),Fondateur de la première école de droit au Canada (1733),46.815303,-71.206611
"Vetch, Samuel","Vetch, Samuel",<Null>,Fort Anne NHSC,Annapolis Royal,Nova Scotia,"Soldier, Governor of Nova Scotia (1710-17)","Soldat, gouverneur de la Nouvelle-Écosse (1710-1717)",44.741398,-65.520095
"Walker, Hiram","Walker, Hiram",2072 Riverside Drive East,Visitor Reception Center of Hiram Walker Plant,Windsor,Ontario,"Industrialist, developed distillery, ferry and railway in Windsor, Ontario","Industriel, bâtit une distillerie, une ligne de ferry et une ligne de chemin de fer à Windsor",42.326033,-83.011833
"Walker, Horatio","Walker, Horatio",260 Main Street West,in Listowel Public Library,Listowel,Ontario,"Artist, painted scenes of rural life in Canada, president of the Royal Academy of Art","Artiste, auteur de scènes de la vie paysanne au Canada, résident de la Royal Academy of Art",43.732083,-80.955117
"Walker, Sir Byron Edmund","Walker, sir Byron Edmund",<Null>,The Grange NHSC,Toronto,Ontario,"President of Canadian Bank of Commerce (1907-24), Patron of the Arts","Président de la Banque canadienne de commerce (1907-1924), mécène",43.653,-79.392533
"Wallis, Sir Provo William Parry","Wallis, Sir Provo William Parry",<Null>,"in Administration Annex, HMC Dockyard",Halifax,Nova Scotia,"Royal Navy officer, participated in the capture of the USS Chesapeake (1813); War of 1812","Officier de la Marine royale, prit part à la capture du «Chesapeake» (1813); guerre de 1812",44.659379,-63.592508
"Walsh, James Morrow","Walsh, James Morrow",<Null>,Fort Walsh National Historic Site,Fort Walsh,Saskatchewan,"Superintendent of the North West Mounted Police (1873-83), Commissioner of Yukon 1897-98","Surintendant de la Police montée du Nord-Ouest (1873-1883), commissaire du Yukon (1897-1898)",49.574661,-109.87537
"Walters, Captain Angus J.","Walters, captaine Angus J.",37 Tanner Street,<Null>,Lunenburg,Nova Scotia,Fame and ability as a fishing captain brought international attention to the Atlantic Canadian fishery,Sa gloire et ses qualités de capitaine de pêche ont fait connaître au monde entier les pêches canadiennes de l'Atlantique,44.371432,-64.221808
"Watson, Homer Ransford","Watson, Homer Ransford",1754 Old Mill Road,exterior wall of Doon School of Fine Arts NHSC,Kitchener,Ontario,"Artist, painted pioneer motifs and landscapes, founded the Canadian Art Club (1907)","Artiste, scènes de la vie des pionniers et des paysages, fondateur du Canadian Art Club (1907)",43.394733,-80.4188
"Watt, Margaret ""Madge"" Robertson","Watt, Margaret «Madge» Robertson",650 Pearson College Drive,Lester B. Pearson College of the Pacific,*    Metchosin,British Columbia,"Key driving force in the foundation of the Associated Country Women of the World (ACWW) in 1933, first president from 1933 to 1947","A été en 1933 l'instigatrice principale de la fondation de l'Union mondiale des femmes rurales (UMFR), elle a été présidente depuis sa fondation en 1933 jusqu'en 1947",48.348065,-123.566345
"Watts, George Edward","Watts, George Edward",<Null>,"in Administration Annex, HMC Dockyard",Halifax,Nova Scotia,"Vice-admiral in the Royal Navy, served in the War of 1812","Vice-amiral dans la Marine royale, participa à la guerre de 1812",44.659379,-63.592508
"Webster, John Clarence","Webster, John Clarence",277 Douglas Avenue,in New Brunswick Museum,Saint John,New Brunswick,"Surgeon, historian, author, professor, Historic Sites and Monuments Board of Canada Chairman (1940-49)","Médecin, historien, auteur, professeur, président de la Commission des lieux et des monuments historiques du Canada (1940-49)",45.269115,-66.081857
"Wentworth, Sir John","Wentworth, sir John","Barrington Street, north of Bishop Street",<Null>,Halifax,Nova Scotia,"Lieutenant-Governor of Nova Scotia (1792-1808), built Government House in Halifax","Lieutenant-gouverneur de la Nouvelle-Écosse (1792-1808), construisit Government House à Halifax",44.643553,-63.572055
"Westphal, Philip","Westphal, Philip",<Null>,"in Administration Annex, HMC Dockyard",Halifax,Nova Scotia,"Admiral (1866) in the Royal Navy, served in America and Europe","Amiral (1866) dans la Marine royale, servit en Amérique et en Europe",44.658211,-63.583557
"Westphal, Sir George Augustus","Westphal, sir George Augustus",<Null>,HMC Dockyard,Halifax,Nova Scotia,"Admiral (1863) in the Royal Navy, served in Battle of Trafalgar","Amiral (1863) dans la Marine royale, participa à la bataille de Trafalgar",44.65932,-63.59245
"Wheeler, Arthur Oliver","Wheeler, Arthur Oliver",<Null>,"on a large boulder, on the edge of the Columbia Icefields Centre parking lot",Jasper National Park of Canada,Alberta,Important topographical surveyor; supporter of National Park Movement; co-founder of Alpine Club,Géomètre topographe important; partisan du mouvement des parcs nationaux; cofondateur du club alpin,52.220166,-117.224497
"Wheeler, Seager","Wheeler, Seager",Highway 312,Seager Wheeler's Maple Grove Farm NHSC,Rosthern,Saskatchewan,World-renowned agriculturist,Agriculteur de renommée mondiale,52.673188,-106.218401
"Whelan, Edward","Whelan, Edward",165 Richmond Street,north east side of Province House NHSC,Charlottetown,Prince Edward Island,"Father of Confederation, journalist, orator","Père de la Confédération, journaliste, orateur",46.235233,-63.125783
"Whitbourne, Sir Richard","Whitbourne, sir Rrichard",<Null>,<Null>,Trinity,Newfoundland and Labrador,Newfoundland merchant and promoter of colonization,"Marchand de Terre-Neuve, partisan de la colonisation",48.370001,-53.378742
"White, Portia May","White, Portia May",454 Prince Street,Zion United Baptist Church,Truro,Nova Scotia,Acclaimed vocalist from Black Nova Scotian community,Chanteuse renommée de la communité noire de la Nouvelle-Écosse,45.365814,-63.289508
"Willan, Healey","Willan, Healey",136 Ulster Street,Wall of St. Mary Magdeleine Anglican Church,Toronto,Ontario,"Noted organist and composer, professor of Music at University of Toronto (1937-50)","Organiste et compositeur, professeur de musique à l'Université de Toronto (1937-1950)",43.65905,-79.414033
"Willison, Sir John Stephen","Willison, sir John Stephen",1 Court House Square,corridor of the new Huron County Court Building,Goderich,Ontario,"Editor of the Toronto ""Globe"" (1890-1902), Toronto ""News"" (1902-17)","Dirigea le «Globe» de Toronto (1890-1902), le «News» de Toronto (1902-1917)",43.7427,-81.71115
"Willson, Thomas Leopold 'Carbide'","Willson, Thomas Leopold «Carbide»",Middle Street at Portage Bridge,"Old Willson Carbide Mill, Victoria Island",*    Ottawa,Ontario,"Inventor, commercialized the production of acetylene gas (1892)","Inventeur, production commerciale de gaz acétylene (1892)",45.420306,-75.712732
"Wilmot, Lemuel Allan","Wilmot, Lemuel Allan",706 Queen Street,On the grounds of Legislative Assembly building,Fredericton,New Brunswick,"Lieutenant-Governor of New Brunswick (1868-73), politician and jurist","Lieutenant-gouverneur du Nouveau-Brunswick (1868-1873), homme politique et homme de loi",45.959399,-66.635749
"Wilmot, Robert Duncan","Wilmot, Robert Duncan",<Null>,<Null>,*    Oromocto,New Brunswick,"Father of Confederation, senator","Père de la Confédération, sénateur",45.848781,-66.4788
"Wilson, Alice Evelyn","Wilson, Alice Evelyn",240 McLeod Street,Victoria Memorial Museum NHSC,*    Ottawa,Ontario,"A scientist, teacher, and popularizer, she made a significant contribution to paleontology and geology","Comme scientifique, enseignante et vulgarisatrice, elle a apporté une contribution précieuse à la paléontologie et à la géologie",45.41278,-75.688592
"Wilson, Ethel","Wilson, Ethel",1386 Nicola Street,Kensington Place Apartment Building,*    Vancouver,British Columbia,Important contribution to modernist writing in fiction that explores the inner lives and moral values of her characters,A apporté une importante contribution au modernisme dans la littérature canadienne grâce à des écrits de fiction qui explorent la vie intérieure et les valeurs morales des personnages,49.282411,-123.140207
"Wilson, Honourable Cairine Reay Mackay","Wilson, honourable Cairine Reay Mackay",192 Daly Avenue,<Null>,*    Ottawa,Ontario,"First woman to be appointed to the Senate in Canada, and as such embodies the conclusion of the Persons Case",La première femme nommée au Sénat canadien et symbolise par le fait même l’aboutissement de l’affaire des femmes non reconnues civilement,45.428173,-75.683133
"Wilson, Mona Gordon","Wilson, Mona Gordon",61 McGill Avenue,Mona Gordon Wilson Building,*    Charlottetown,Prince Edward Island,Created and efficiently ran the Prince Edward Island Public Health Nursing Division; improved the health of Prince Edward Island residents,A mis sur pied et administré avec efficacité la Division des soins infirmiers en santé publique de l'Ile-du-Prince-Édouard; ont contribué à améliorer la santé des résidants de l'Île-du-Prince-Édouard,46.237952,-63.140374
"Winslow, Edward","Winslow, Edward",<Null>,"Harriet Irving Library, University of New Brunswick",Fredericton,New Brunswick,"Founded Fredericton, Loyalist settlements in Saint John River Valley","Fondateur de Fredericton, peuplements loyalistes dans la vallée de la rivière Saint-John",45.94626,-66.643077
"Wolofsky, Hirsch ""Harry"" Zvi","Wolofsky, Hirsch «Harry» Zvi",4075 Saint-Laurent Boulevard,Former offices of the Keneder Odler,*    Montréal,Quebec,"Played a key role in the shaping of the Montréal Jewish community's identity in the first half of the 20th century; 1907, founded the Eagle Publishing Company","A été au cur de la construction identitaire de la communauté juive de Montréal dans la première moitié du xxe siècle; 1907, fondé la Eagle Publishing Company",45.517195,-73.579913
"Wolseley, William","Wolseley, William",path at corner of St. Anthony and St. George St.,On Museum wall in Fort Anne NHSC,Annapolis Royal,Nova Scotia,"Admiral (1819) in the Royal Navy, served in the East Indies and Mediterranean","Amiral (1819) dans la Marine royale, servit aux Indes orientales et dans la Méditerranée",44.742604,-65.518851
Wong Foon Sien,Wong Foon Sien,108 Pender Street,Chinese Benevolent Association Building,*    Vancouver,British Columbia,Ardent activist for the recognition of the rights of the Chinese-Canadian community and other minorities,A milité avec ferveur pour la reconnaissance des droits de sa communauté et des minorités,49.280437,-123.102038
